Weather_site,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
108660-99999,1929,nu,nu,nu,nu,nu,nu,nu,65.86,63.55,51.13,39.12,36.53,
108660-99999,1930,32.30,28.27,42.43,48.77,55.74,69.67,65.13,63.33,58.47,47.27,44.43,31.55,
108660-99999,1931,31.15,28.11,30.50,44.33,62.73,66.83,65.96,62.18,50.54,46.31,38.90,29.73,
108660-99999,1932,33.44,25.16,32.46,47.12,56.66,61.21,66.56,69.83,64.98,49.00,38.74,30.00,
108660-99999,1933,24.43,31.76,42.27,46.99,53.45,58.68,68.33,66.73,58.89,49.58,36.26,21.53,
108660-99999,1934,30.44,31.42,41.03,54.42,60.77,64.19,69.58,64.46,62.77,49.99,37.91,39.97,
108660-99999,1935,27.01,35.37,38.34,45.77,53.96,67.69,68.92,65.32,60.36,48.93,39.58,30.93,
108660-99999,1936,35.33,32.75,43.84,47.49,56.77,62.50,65.07,63.59,57.96,43.10,38.26,33.19,
108660-99999,1937,31.34,37.04,40.33,47.89,61.50,65.95,67.01,64.65,57.97,48.13,39.15,30.37,
108660-99999,1938,33.29,32.68,46.57,40.65,53.80,65.36,66.19,64.73,58.14,48.99,42.36,26.37,
108660-99999,1939,35.44,32.27,33.71,51.31,51.22,63.70,64.80,nu,nu,nu,40.59,26.01,
108660-99999,1940,15.17,27.07,37.49,47.61,53.00,60.06,61.51,58.74,56.24,46.06,40.74,21.45,
108660-99999,1941,21.89,32.57,39.76,42.28,48.47,60.72,64.23,60.46,53.55,45.87,33.46,31.56,
108660-99999,1942,14.85,21.50,36.99,45.14,54.26,58.56,61.93,63.11,61.59,53.69,34.51,32.31,
108660-99999,1943,30.38,36.05,42.31,48.78,54.23,57.64,63.66,66.21,57.72,49.04,35.57,30.93,
108660-99999,1946,nu,nu,nu,nu,55.40,58.51,64.74,62.06,57.30,43.34,36.35,25.57,
108660-99999,1947,19.54,20.11,38.95,50.01,57.40,62.70,66.08,65.50,61.92,44.18,41.34,32.13,
108660-99999,1948,36.57,32.46,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu,
108660-99999,1949,30.50,30.91,33.94,50.41,53.01,57.39,64.20,63.23,60.90,51.11,37.38,35.73,
108660-99999,1950,28.75,37.26,40.98,44.78,57.81,65.75,67.45,63.69,55.72,45.36,38.69,26.66,
108660-99999,1951,32.53,34.33,36.70,46.18,53.11,59.30,63.49,63.30,58.19,43.75,42.29,32.25,
108660-99999,1952,30.01,28.64,38.01,50.28,54.22,61.35,68.51,66.18,51.39,45.70,34.35,29.72,
108660-99999,1953,27.41,30.09,40.53,48.71,55.05,59.25,64.50,61.78,57.81,50.06,35.69,32.47,
108660-99999,1954,24.03,24.22,40.59,42.10,51.49,60.27,58.92,60.93,57.69,48.98,37.79,35.85,
108660-99999,1955,27.28,29.64,32.69,44.22,52.06,58.85,62.26,60.93,55.73,45.70,35.44,36.76,
108660-99999,1956,32.70,10.58,36.43,43.20,53.97,55.54,62.88,59.80,57.50,45.86,34.41,31.58,
108660-99999,1957,27.46,39.24,45.09,44.90,48.58,61.66,63.75,59.45,54.86,46.67,38.11,31.51,
108660-99999,1958,28.76,35.61,29.75,41.54,58.29,58.57,63.64,63.85,58.62,46.39,38.45,34.41,
108660-99999,1959,nu,nu,nu,nu,nu,nu,nu,64.51,57.97,47.50,35.04,36.01,
108660-99999,1960,28.39,31.45,39.58,46.32,55.35,61.34,60.21,62.53,55.12,48.28,42.25,31.89,
108660-99999,1961,27.41,37.86,43.58,51.94,50.68,60.98,60.45,62.48,62.68,50.36,37.57,30.06,
108660-99999,1962,32.46,30.65,31.34,48.29,49.52,58.02,61.48,64.32,56.73,47.37,35.18,21.50,
108660-99999,1963,16.81,18.02,35.81,48.27,52.82,59.82,65.17,62.20,58.22,47.10,45.27,22.78,
108660-99999,1964,22.03,31.56,33.13,49.24,56.47,61.79,67.09,62.22,57.38,44.28,40.89,29.71,
108660-99999,1965,33.10,24.30,35.84,44.10,51.52,61.31,61.25,60.46,54.84,46.21,35.61,36.62,
108660-99999,1966,25.02,42.80,37.04,50.01,54.52,62.09,60.72,60.15,58.29,53.27,34.57,34.15,
108660-99999,1967,31.26,35.70,41.83,44.20,54.54,58.69,67.79,63.46,57.45,54.15,37.99,30.30,
108660-99999,1968,28.77,34.63,40.03,49.11,53.33,60.99,62.26,60.37,56.22,49.92,38.69,26.50,
108660-99999,1969,30.93,29.54,36.59,45.58,56.37,56.30,64.13,60.77,57.51,47.57,40.01,22.05,
108660-99999,1970,27.98,31.18,34.17,42.08,51.06,62.72,62.12,62.10,56.46,46.58,41.46,28.51,
108660-99999,1971,24.40,30.42,30.94,48.17,56.03,56.61,64.52,64.75,53.47,47.10,36.88,nu,
108660-99999,1973,28.00,30.96,36.04,40.52,55.58,59.95,61.61,64.83,57.95,43.88,36.92,29.85,
108660-99999,1974,35.54,35.70,43.07,44.90,51.36,56.58,61.30,64.43,56.20,40.12,38.24,38.41,
108660-99999,1975,37.27,32.19,38.13,43.60,54.93,56.94,62.92,62.55,60.93,44.82,35.71,29.39,
108660-99999,1976,33.62,31.52,35.03,44.61,54.69,62.55,66.22,58.48,53.42,48.21,38.56,25.78,
108660-99999,1977,30.59,38.56,43.77,42.40,53.16,59.90,62.68,60.38,53.54,49.39,40.28,31.91,
108660-99999,1978,29.95,26.80,39.40,44.26,50.99,58.24,60.21,59.49,55.65,46.78,36.05,32.83,
108660-99999,1979,23.10,32.49,41.04,41.90,54.12,61.48,60.98,59.99,56.20,47.21,37.38,38.86,
108660-99999,1980,26.47,36.14,38.61,40.46,50.04,58.22,58.90,63.71,56.86,46.19,35.87,29.62,
108660-99999,1981,25.21,29.13,44.94,46.90,53.80,60.25,61.31,62.53,56.95,47.74,38.99,28.32,
108660-99999,1982,24.73,29.14,38.82,42.49,54.23,61.65,65.88,61.96,60.04,48.01,40.52,35.07,
108660-99999,1983,37.77,25.82,39.62,48.12,52.83,60.29,69.78,63.60,56.70,48.18,35.15,30.39,
108660-99999,1984,32.32,27.43,34.07,42.73,50.35,57.13,61.31,61.28,54.13,48.99,38.28,31.68,
108660-99999,1985,19.18,25.22,35.47,45.28,55.06,56.25,65.07,62.47,57.65,45.61,31.89,36.98,
108660-99999,1986,31.11,18.45,36.93,44.80,58.17,59.43,61.91,63.07,54.57,48.07,39.40,33.07,
108660-99999,1987,22.31,30.39,30.93,47.78,49.14,57.35,63.77,60.75,61.51,48.61,38.25,33.90,
108660-99999,1988,35.72,33.32,36.26,47.02,56.93,59.24,64.40,63.94,56.55,50.18,34.94,35.29,
108660-99999,1989,32.62,36.51,45.56,45.37,55.61,57.83,64.13,63.60,56.45,49.71,33.78,34.14,
108660-99999,1990,29.60,40.71,44.59,43.85,57.14,58.82,63.26,66.01,54.19,49.89,38.44,29.71,
108660-99999,1991,32.03,25.93,42.33,43.98,48.31,57.98,66.56,64.97,59.78,45.18,36.79,28.41,
108660-99999,1992,30.89,34.33,40.09,45.69,58.70,62.57,67.06,70.22,57.58,45.01,41.63,31.36,
108660-99999,1993,36.37,30.53,37.81,50.74,59.98,61.19,62.04,62.86,55.39,46.47,33.03,38.01,
108660-99999,1994,36.58,33.22,46.02,45.51,55.32,62.72,69.97,66.41,57.08,45.40,45.67,37.33,
108660-99999,1995,30.39,40.23,37.87,48.47,55.44,57.72,68.97,63.45,54.33,53.03,35.25,29.98,
108660-99999,1996,24.98,27.33,33.78,47.25,54.55,62.72,61.53,62.17,51.32,48.25,39.76,25.16,
108660-99999,1997,24.56,38.61,42.93,43.10,56.22,60.67,62.44,65.62,57.37,45.31,38.13,34.63,
108660-99999,1998,33.73,37.54,40.38,48.06,57.45,63.32,64.38,64.65,56.15,49.71,34.15,32.23,
108660-99999,1999,33.29,29.92,42.01,48.15,58.34,60.12,65.77,63.69,61.72,48.42,34.84,33.91,
108660-99999,2000,29.05,39.12,41.78,49.92,59.01,64.26,61.39,65.77,56.75,50.40,40.75,35.79,
108660-99999,2001,29.64,35.86,43.29,45.19,60.01,59.28,65.21,66.40,53.01,54.63,36.60,29.83,
108660-99999,2002,31.48,41.90,42.58,47.41,57.54,65.34,64.81,64.78,53.75,47.97,42.82,34.66,
108660-99999,2003,30.01,24.79,42.31,47.63,59.88,70.53,67.14,72.34,56.93,43.66,39.49,32.20,
108660-99999,2004,30.68,35.61,38.38,49.26,53.04,61.02,64.04,66.17,57.95,50.57,39.06,30.96,
108660-99999,2005,31.77,26.37,36.68,49.02,56.26,63.73,64.93,61.33,58.75,49.68,36.06,29.76,
108660-99999,2006,24.64,28.73,35.39,48.07,56.28,63.69,71.43,59.67,61.21,52.56,41.97,35.60,
108660-99999,2007,39.71,39.59,42.35,53.69,58.99,64.95,65.25,62.92,54.26,46.34,35.88,32.51,
