Weather Station,Count
108660-99999,87
106370-99999,84
260630-99999,81
333930-99999,81
722860-23119,81
943740-99999,80
225500-99999,80
317350-99999,80
724050-13743,80
911820-22521,80
061800-99999,80
284400-99999,79
722265-13821,79
276120-99999,79
942030-99999,79
946370-99999,79
949260-99999,79
315100-99999,79
388800-99999,78
276480-99999,78
745980-13702,78
167380-99999,78
351210-99999,78
166410-99999,78
745700-13840,78
296120-99999,78
287220-99999,78
166270-99999,78
278570-99999,78
296340-99999,78
286610-99999,78
167540-99999,78
267020-99999,78
270370-99999,78
265090-99999,78
340090-99999,78
253990-99999,78
279620-99999,78
703980-25308,78
228370-99999,78
106330-99999,77
280440-99999,77
703260-25503,77
319600-99999,77
944030-99999,77
949100-99999,77
029110-99999,77
483540-99999,77
723030-13714,77
112310-99999,77
725377-14804,77
166480-99999,77
722595-13911,77
945100-99999,77
722535-12909,77
702960-26410,76
387500-99999,76
292310-99999,76
237110-99999,76
389870-99999,76
167340-99999,76
292630-99999,76
384570-99999,76
302300-99999,76
249440-99999,76
349290-99999,76
110100-99999,76
260940-99999,76
723650-23050,76
233300-99999,76
042310-99999,76
307580-99999,76
943120-99999,76
239330-99999,76
341720-99999,76
286980-99999,76
229390-99999,76
298380-99999,76
326180-99999,76
275950-99999,76
341220-99999,76
225830-99999,76
352290-99999,76
330190-99999,76
228200-99999,76
296980-99999,76
722970-23129,76
284930-99999,76
725090-14739,76
374720-99999,76
388360-99999,76
111200-99999,76
282750-99999,76
360030-99999,76
227680-99999,76
724640-93058,76
484560-99999,76
343910-99999,76
239140-99999,76
361770-99999,76
228020-99999,76
236310-99999,76
357000-99999,76
206740-99999,76
224710-99999,76
855850-99999,75
289520-99999,75
949680-99999,75
230320-99999,75
202920-99999,75
722485-13944,75
288380-99999,75
949070-99999,75
040180-16201,75
103380-99999,75
222170-99999,75
854420-99999,75
724338-13802,75
333450-99999,75
268500-99999,75
723630-23047,75
948650-99999,75
381980-99999,75
725280-14733,75
942120-99999,75
703500-25501,74
380010-99999,74
722906-93112,74
272250-99999,74
703080-25713,74
836120-99999,74
345790-99999,74
307770-99999,74
725200-94823,74
358490-99999,74
859300-99999,74
943000-99999,74
722536-12911,74
702670-26415,74
325400-99999,74
702190-26615,74
700260-27502,74
218240-99999,74
722310-12916,74
221130-99999,74
723060-13722,74
247380-99999,74
167490-99999,74
783670-11706,74
343000-99999,74
337110-99999,74
727855-24114,74
282250-99999,74
471100-99999,74
029170-99999,74
702710-26425,74
725720-24127,73
722250-13829,73
722510-12924,73
308790-99999,73
387630-99999,73
064510-99999,73
122050-99999,73
167430-99999,73
277030-99999,73
115180-99999,73
941200-99999,73
722700-23044,73
249510-99999,73
723810-23114,73
947760-99999,73
112400-99999,73
844520-99999,73
160800-99999,73
722530-12921,73
351080-99999,73
270510-99999,73
303090-99999,73
223490-99999,73
335870-99999,73
726625-24006,73
744910-14703,73
101470-99999,73
747900-13849,73
704540-25704,73
702610-26411,73
722660-13962,73
372280-99999,72
747750-13846,72
723560-13968,72
727850-24157,72
274020-99999,72
266950-99999,72
368700-99999,72
206670-99999,72
722175-13860,72
275320-99999,72
478080-99999,72
723550-13945,72
085090-99999,72
726980-24229,72
226410-99999,72
294300-99999,72
309650-99999,72
273290-99999,72
724040-13721,72
719070-99999,72
222350-99999,72
234050-99999,72
947910-99999,72
276650-99999,72
723440-13964,72
226760-99999,72
310040-99999,72
320610-99999,72
354060-99999,72
343360-99999,72
221650-99999,72
272420-99999,72
110350-99999,72
747686-13820,72
226210-99999,72
219820-99999,72
267810-99999,72
268820-99999,72
780160-13601,72
226020-99999,72
300540-99999,72
249590-99999,72
722080-13880,72
722680-23009,72
285060-99999,72
821930-99999,72
702910-26412,72
722500-12919,72
742060-24207,72
483270-99999,72
338370-99999,72
368590-99999,72
724096-14706,71
341520-99999,71
745940-13705,71
236780-99999,71
320530-99999,71
268980-99999,71
722630-23034,71
311680-99999,71
246410-99999,71
846910-99999,71
165970-99999,71
295810-99999,71
330080-99999,71
255630-99999,71
225630-99999,71
238490-99999,71
228310-99999,71
121500-99999,71
238040-99999,71
154200-99999,71
318320-99999,71
316550-99999,71
164200-99999,71
279060-99999,71
313290-99999,71
722650-23023,71
947530-99999,71
264220-99999,71
123750-99999,71
123300-99999,71
270080-99999,71
389110-99999,71
747880-12810,71
725755-24101,71
348800-99999,71
317070-99999,71
028360-99999,71
479300-99999,71
345600-99999,71
306830-99999,71
947670-99999,71
208910-99999,71
224080-99999,71
289000-99999,71
314390-99999,71
722560-13959,71
161200-99999,70
228870-99999,70
722436-12906,70
102240-99999,70
242660-99999,70
232050-99999,70
237340-99999,70
313000-99999,70
360610-99999,70
239210-99999,70
725038-14714,70
722786-23104,70
304330-99999,70
232740-99999,70
945680-99999,70
489000-99999,70
270660-99999,70
279280-99999,70
124000-99999,70
724088-13707,70
357960-99999,70
309570-99999,70
247240-99999,70
351880-99999,70
304550-99999,70
299390-99999,70
246880-99999,70
722597-93985,70
330880-99999,70
357460-99999,70
239550-99999,70
370610-99999,70
485680-99999,70
306220-99999,70
727846-24160,70
306730-99999,70
370310-99999,70
219310-99999,70
306640-99999,70
234720-99999,70
307100-99999,70
386870-99999,70
156140-99999,70
207440-99999,70
283670-99999,70
723540-13919,70
293130-99999,70
723530-13967,70
747910-13717,70
724550-13947,70
243430-99999,70
260590-99999,70
356710-99999,70
375750-99999,70
230220-99999,70
303720-99999,70
221270-99999,70
389270-99999,70
725300-94846,70
307390-99999,70
725115-14711,70
303930-99999,70
167320-99999,70
227210-99999,70
262420-99999,70
353940-99999,70
727755-24112,70
319890-99999,70
383410-99999,70
385650-99999,70
270830-99999,70
722745-23109,70
484310-99999,70
350780-99999,70
852010-99999,70
722210-13858,69
085360-99999,69
155520-99999,69
382620-99999,69
847520-99999,69
719250-99999,69
228920-99999,69
251730-99999,69
228540-99999,69
111500-99999,69
945780-99999,69
479810-99999,69
722785-23111,69
484070-99999,69
724240-13807,69
725190-14771,69
745160-23202,69
489400-99999,69
249660-99999,69
404160-99999,69
725640-24018,69
724660-93037,69
167160-99999,69
344150-99999,69
241430-99999,69
288790-99999,69
726815-24106,69
334150-99999,69
229540-99999,69
854060-99999,69
856290-99999,69
388950-99999,69
338150-99999,69
085120-99999,69
800280-99999,69
725330-14827,69
259130-99999,69
719460-99999,69
722550-12912,69
724565-13920,69
723418-13977,69
166840-99999,69
085830-99999,68
315320-99999,68
200870-99999,68
722350-03940,68
719340-99999,68
111460-99999,68
946100-99999,68
722235-13838,68
723510-13966,68
718160-99999,68
369740-99999,68
413160-99999,68
029350-99999,68
029820-99999,68
310880-99999,68
401000-99999,68
802220-99999,68
723890-93193,68
267300-99999,68
028970-99999,68
727930-24233,68
401800-99999,68
600200-99999,68
029700-99999,68
122500-99999,68
854880-99999,68
085450-99999,68
255940-99999,68
483570-99999,67
153100-99999,67
478030-99999,67
859340-99999,67
385070-99999,67
285520-99999,67
325090-99999,67
164600-99999,67
315870-99999,67
266660-99999,67
343570-99999,67
411960-99999,67
722686-23008,67
282400-99999,67
857990-99999,67
345230-99999,67
267630-99999,67
747950-12867,67
304930-99999,67
724836-23208,67
124950-99999,67
284340-99999,67
288250-99999,67
471080-99999,67
315940-99999,67
837210-99999,67
476710-99999,67
295530-99999,67
253780-99999,67
040300-99999,67
332750-99999,67
718150-99999,67
332610-99999,67
725690-24089,67
085890-99999,67
943350-99999,67
296420-99999,67
281160-99999,67
287110-99999,67
856720-99999,67
379890-99999,67
165600-99999,67
723170-13723,67
335060-99999,67
335620-99999,67
389740-99999,67
471420-99999,67
383530-99999,67
835830-99999,67
287480-99999,67
107280-99999,67
246390-99999,67
232190-99999,67
298220-99999,67
858620-99999,67
331350-99999,67
480620-99999,67
317130-99999,66
722670-23042,66
313690-99999,66
151200-99999,66
283190-99999,66
314160-99999,66
949700-99999,66
466960-99999,66
318250-99999,66
474120-99999,66
481120-99999,66
317540-99999,66
434180-99999,66
471060-99999,66
230740-99999,66
722270-13864,66
476360-99999,66
121950-99999,66
722400-03937,66
724060-93721,66
725540-14949,66
282140-99999,66
315340-99999,66
306920-99999,66
154100-99999,66
063100-99999,66
076500-99999,66
345450-99999,66
314780-99999,66
486200-99999,66
983270-99999,66
486150-99999,66
042020-99999,66
319150-99999,66
623060-99999,66
726580-14922,66
315210-99999,66
067000-99999,66
314450-99999,66
489550-99999,66
725180-14735,66
486010-99999,66
486570-99999,66
105130-99999,66
125700-99999,66
153600-99999,66
282550-99999,66
060110-99999,66
434970-99999,66
718070-99999,66
486650-99999,66
122950-99999,66
474300-99999,66
619020-99999,66
106850-99999,66
476620-99999,66
318730-99999,66
724810-23203,66
333170-99999,66
313880-99999,66
946080-99999,66
723677-23054,66
719660-99999,66
320760-99999,66
946530-99999,65
319130-99999,65
246560-99999,65
374840-99999,65
307450-99999,65
944300-99999,65
062800-99999,65
719380-99999,65
385450-99999,65
312950-99999,65
480080-99999,65
321650-99999,65
299560-99999,65
383920-99999,65
298070-99999,65
232560-99999,65
107630-99999,65
163200-99999,65
785140-99999,65
722050-12815,65
337610-99999,65
299370-99999,65
307030-99999,65
359530-99999,65
291110-99999,65
305540-99999,65
298640-99999,65
247680-99999,65
309780-99999,65
308290-99999,65
786410-99999,65
305040-99999,65
364280-99999,65
299150-99999,65
295570-99999,65
476350-99999,65
309490-99999,65
308380-99999,65
106140-99999,65
478170-99999,65
308620-99999,65
307310-99999,65
292820-99999,65
285930-99999,65
287660-99999,65
214320-99999,65
801100-99999,65
305210-99999,65
272710-99999,65
283830-99999,65
308440-99999,65
161580-99999,65
717070-99999,65
308460-99999,65
284810-99999,65
354260-99999,65
262580-99999,65
293480-99999,65
324080-99999,65
719350-99999,65
309250-99999,65
719650-99999,65
287970-99999,65
238840-99999,65
365350-99999,65
260380-99999,65
402700-99999,65
293280-99999,65
286880-99999,65
259540-99999,65
290230-99999,65
266290-99999,65
348240-99999,65
107520-99999,65
291220-99999,65
386960-99999,65
297260-99999,65
313480-99999,65
133530-99999,65
154800-99999,65
321210-99999,65
294710-99999,65
306500-99999,65
601560-99999,65
309750-99999,65
363970-99999,65
249230-99999,65
201070-99999,65
283820-99999,65
347310-99999,65
314740-99999,65
334660-99999,65
285730-99999,65
946590-99999,65
486470-99999,65
276790-99999,65
320690-99999,65
320980-99999,65
152000-99999,65
306270-99999,65
315380-99999,65
294050-99999,65
319210-99999,65
348660-99999,65
292090-99999,65
234120-99999,65
263480-99999,65
746710-13806,65
308230-99999,65
254000-99999,65
